stimulus_id,seed,exemplar,shape_level,shape_family,appendage_level,appendage_family,appendage_count,texture_level,texture_family,colour_level,colour_name,colour_hue_deg,colour_chroma,colour_luminance_Lstar,srgb_r,srgb_g,srgb_b,srgb_relative_luminance,body_area_vector,body_perimeter_vector,body_area_pixels,object_area_pixels,body_bbox_width,body_bbox_height,object_bbox_width,object_bbox_height,svg_path,png_path,body_mask_path,object_mask_path
microbe_00026,1596915717,1,0,round,0,none,0,1,spots,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338406995,885.5291716994384,62673,62673,291.6644602204739,271.5289236675078,291.6644602204739,271.5289236675078,svg/microbe_00026.svg,png/microbe_00026.png,masks/body/microbe_00026.png,masks/object/microbe_00026.png
microbe_00027,1520034259,2,0,round,0,none,0,1,spots,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338406995,885.0667800390502,62672,62672,287.9759086946342,275.0059746728768,287.9759086946342,275.0059746728768,svg/microbe_00027.svg,png/microbe_00027.png,masks/body/microbe_00027.png,masks/object/microbe_00027.png
microbe_00028,1361233113,3,0,round,0,none,0,1,spots,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.943384066224,885.2260804028713,62682,62682,288.9668716087765,274.2459162412515,288.9668716087765,274.2459162412515,svg/microbe_00028.svg,png/microbe_00028.png,masks/body/microbe_00028.png,masks/object/microbe_00028.png
microbe_00029,1830186954,0,0,round,0,none,0,1,spots,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00029.svg,png/microbe_00029.png,masks/body/microbe_00029.png,masks/object/microbe_00029.png
microbe_00030,418481467,1,0,round,0,none,0,1,spots,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.943384073675,885.5164267067875,62687,62687,290.6842555452812,272.73970924104515,290.6842555452812,272.73970924104515,svg/microbe_00030.svg,png/microbe_00030.png,masks/body/microbe_00030.png,masks/object/microbe_00030.png
microbe_00031,1836170481,2,0,round,0,none,0,1,spots,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.9433840625,885.2385957529442,62669,62669,289.60321689072816,273.45540807664713,289.60321689072816,273.45540807664713,svg/microbe_00031.svg,png/microbe_00031.png,masks/body/microbe_00031.png,masks/object/microbe_00031.png
microbe_00032,1956214968,3,0,round,0,none,0,1,spots,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.943384066224,885.0194357687078,62660,62660,287.29077205428155,275.90650692320565,287.29077205428155,275.90650692320565,svg/microbe_00032.svg,png/microbe_00032.png,masks/body/microbe_00032.png,masks/object/microbe_00032.png
microbe_00033,1793345050,0,0,round,0,none,0,1,spots,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00033.svg,png/microbe_00033.png,masks/body/microbe_00033.png,masks/object/microbe_00033.png
microbe_00034,1115156923,1,0,round,0,none,0,1,spots,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.94338405877,885.3493049561023,62657,62657,287.8999825520975,275.79723905037406,287.8999825520975,275.79723905037406,svg/microbe_00034.svg,png/microbe_00034.png,masks/body/microbe_00034.png,masks/object/microbe_00034.png
microbe_00035,838240104,2,0,round,0,none,0,1,spots,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.943384066224,886.2622384806909,62681,62681,295.5064511658438,267.9487131072412,295.5064511658438,267.9487131072412,svg/microbe_00035.svg,png/microbe_00035.png,masks/body/microbe_00035.png,masks/object/microbe_00035.png
